StockCode,AvgUnitPrice,SalesVolume
23177,2.93,2431
21034,2.06,1893
22224,4.11,688
22792,1.345,2313
21042,4.57,303
21617,4.68,473
21421,2.42,298
21112,2.255,1245
23329,4.46,1712
23516,0.25,292
23221,2.69,1461
22123,4.3,443
22363,4.82,454
84820,2.57,261
21157,0.63,49
22491,2.18,3910
23660,0.05,293
22589,0.95,323
22085,1.67,507
84821,3.09,947
21756,4.05,792
22500,0.91,240
22957,3.4,1749
23108,2.31,2194
21892,1.08,2914
21980,4.89,6523
23106,3.9499999999999997,283
22638,1.45,255
37449,2.3,562
22372,4.25,221
48188,4.62,2028
23213,4.35,1595
37500,1.7,338
17091J,3.78,2066
21035,0.1,2319
21929,2.48,9889
21975,2.02,12134
21985,4.56,8569
23335,2.62,359
23029,2.2433333333333336,1284
21669,2.43,4969
15039,4.2,1559
21466,2.29,267
21576,3.9,177
23376,4.35,2642
23379,0.56,1175
23092,2.87,509
20728,0.61,10820
22065,2.77,6452
22147,4.055,6127
23427,2.015,228
22575,1.63,622
23207,0.27,7554
23393,0.92,769
82483,1.5949999999999998,2341
90093,2.1,47
21810,4.165,5305
37413,2.52,701
22374,0.68,448
22080,2.72,1182
22460,1.89,2381
22747,4.32,879
20970,1.96,1081
85212,0.34,2452
79321,1.99,9650
23219,0.2,404
20828,1.35,1012
23047,3.1,58
22024,4.9,2304
22417,0.1,8103
23582,2.77,4447
23194,2.505,1754
21123,3.41,975
22113,1.69,3156
22466,1.0499999999999998,2929
22712,3.63,4319
21379,4.23,147
37448,0.02,1404
23050,2.56,459
23452,3.22,510
22654,1.29,1058
22768,4.19,837
21061,4.4,412
22396,4.17,1182
23228,2.98,1397
21974,1.88,2036
22269,0.76,841
20966,2.95,589
22930,4.46,1041
22983,2.14,5038
23347,3.89,827
84842,1.74,14
22360,1.58,886
22666,2.17,7373
22772,4.77,3345
23287,3.83,1782
21352,3.865,311
23000,4.22,3044
23205,3.9800000000000004,5152
23224,3.93,719
21703,4.56,9272
21984,0.68,3309
22097,0.76,1591
22670,3.95,1754
22751,4.14,1514
22381,2.79,3169
22844,3.26,826
22947,4.56,536
23333,1.62,2030
23286,0.66,4901
23121,4.12,2465
21481,3.73,2925
21788,1.18,1203
22108,0.54,101
22618,2.42,66
22953,1.0999999999999999,460
23045,1.265,116
22699,0.61,9132
23316,0.29,236
84692,2.9,6808
21770,2.42,1577
22118,0.6,219
22354,1.74,700
23031,2.8099999999999996,1246
23576,0.52,185
90099,0.72,20
23273,1.57,928
23555,2.7,422
21063,0.6,483
22300,3.84,1450
22917,2.51,1858
22744,4.2,833
23322,2.835,2908
23415,2.34,326
22946,2.105,370
23337,1.44,169
23374,1.21,2444
15056BL,0.7,2779
21098,3.18,3176
22733,1.36,1471
21355,1.91,777
21896,5.0,949
21114,2.04,1352
22997,2.22,2527
23247,1.87,2060
23295,2.78,5963
23493,0.07,3522
23190,1.67,1678
23407,3.7,252
21210,4.63,5680
22681,3.8,627
23326,2.8,3370
21260,4.74,1129
20665,2.396666666666667,340
22475,0.13,281
82582,1.555,4290
85094,3.59,502
21819,1.15,2465
22632,1.26,4394
22667,3.21,2870
22152,0.19999999999999998,2351
22978,0.22,2407
21380,4.1,2093
22402,3.15,1705
21872,4.68,1269
23444,0.4,79
21949,1.61,613
22999,2.875,2875
84077,2.53,54415
23398,1.46,591
21110,0.63,775
22379,2.03,6088
23478,1.61,278
21544,3.39,1872
21647,1.62,117
22407,1.29,94
23512,4.84,485
23694,3.39,348
47480,1.32,692
22099,0.85,1405
22537,4.69,1818
23187,1.9949999999999999,2338
21803,3.9749999999999996,1138
22071,1.27,711
21955,3.59,1159
22193,4.06,1352
22195,0.06,1699
22909,2.08,8122
22586,2.08,796
84580,1.5,335
84879,2.2550000000000003,35362
84988,1.48,3954
23552,3.37,1731
23338,0.25,405
21377,0.85,93
37447,1.94,757
23400,3.9299999999999997,448
22937,2.98,941
85038,3.25,1018
23067,1.75,277
21288,1.36,256
23019,3.82,81
22380,1.24,1156
21931,0.74,11516
23099,3.83,132
22187,2.28,1183
22421,3.82,1925
22457,0.62,8480
22547,4.8,738
22609,4.33,5636
22795,2.95,1099
20674,1.87,1373
21635,3.5,270
23012,2.65,1017
22029,4.81,7858
22867,3.25,6001
21143,0.81,296
22427,1.95,1995
20979,4.27,3523
15058A,3.085,148
23504,2.4,1668
23541,3.69,829
23268,2.1300000000000003,1627
21900,0.94,3087
21773,0.66,920
21383,1.52,772
23302,0.45,1481
23543,1.42,1228
21213,0.69,14309
22725,2.09,1776
22294,3.57,5439
22340,2.59,993
22716,0.62,3088
23475,4.84,280
72232,4.03,3317
22192,0.66,907
21378,0.83,129
20684,3.13,78
23072,1.7650000000000001,326
35651,3.45,330
23085,3.4,374
21933,3.19,2410
22384,2.36,10254
22418,1.42,6267
22468,2.12,467
20759,3.01,64
21987,0.83,2050
22986,3.69,4101
22266,4.11,1861
23007,1.82,450
23412,2.705,351
22389,0.06,329
35924,2.64,724
22541,0.32,466
22843,2.74,434
22796,1.435,554
21829,1.6224999999999996,6462
22198,0.68,873
22063,3.15,544
23140,4.21,160
21741,4.38,131
72122,2.57,292
20935,3.74,6
22781,2.1,533
51008,2.21,511
22924,3.945,1188
22243,0.12,3055
23484,2.9749999999999996,174
22765,1.5,25
21817,3.835,908
21679,4.3,1054
21944,3.91,232
22215,1.69,330
22089,3.13,1214
22555,4.1,5885
84922,1.43,8
22605,1.79,709
23466,1.15,49
22912,3.65,270
22496,3.27,243
21439,4.31,1322
22295,3.18,2737
21945,1.75,225
22057,4.37,578
20931,0.33,263
44235,1.225,539
22684,4.53,464
22267,2.47,828
22690,2.45,1597
22794,4.96,300
21158,3.64,1427
22179,3.06,796
22364,3.95,519
21499,2.95,6925
22282,4.18,111
85125,4.715,129
21411,0.41,722
22339,2.705,2283
21794,1.9200000000000002,501
22495,1.6,242
22702,2.26,1357
20654,4.89,105
22932,1.46,872
20705,2.07,143
22756,3.59,554
21713,1.59,701
90103,2.65,8
22265,3.23,514
22316,4.13,638
22281,3.75,109
21357,4.59,19
23142,4.0,116
22391,2.0,146
22232,2.51,623
22708,0.81,2775
21527,0.73,468
16156L,1.27,475
22276,3.63,253
21934,4.46,1288
