StockCode,AvgUnitPrice,SalesVolume
23351,2.45,3058
84992,0.92,13070
22557,4.33,4573
22271,3.0900000000000003,1653
22548,1.565,1873
23155,2.77,2106
21738,1.0,45
72598,2.76,459
22710,1.21,4425
22951,4.26,7247
23344,3.19,8954
23138,0.66,875
23545,2.465,2475
22279,1.84,480
22847,2.365,851
22045,0.19,6502
21591,2.91,1187
21615,1.81,840
48111,0.22,1107
22979,4.67,3920
22988,0.2,8821
23320,3.17,2635
23373,4.15,1563
23517,3.5,312
35964,4.32,624
22977,1.18,905
84843,3.97,161
22064,0.67,1608
20762,4.33,101
20766,0.78,113
22156,2.32,1875
22918,2.73,1776
84944,2.986666666666667,564
22714,1.34,3367
22980,0.73,2289
23234,0.42,1851
23489,3.595,876
85111,2.715,1407
21115,1.94,523
22355,4.050000000000001,8975
22420,2.23,1199
22579,1.415,4808
22594,4.63,1744
22630,1.27,11336
22731,3.01,1075
22730,4.98,2728
21365,2.07,348
20984,2.01,3809
23523,1.935,357
85104,0.32,196
21381,4.13,1699
21914,1.07,7434
22933,4.7,876
21539,2.3666666666666667,939
21724,1.75,372
23152,1.98,545
23418,3.26,534
22095,1.48,1578
22263,3.41,256
21558,3.04,1946
21191,1.27,394
22414,0.21,253
23388,3.175,793
23570,0.71,1846
23096,1.9,1007
23567,2.18,187
20971,4.04,10225
22835,2.11,2972
21843,2.475,1809
22324,2.3,228
23263,0.34,3747
23500,2.07,1585
16161P,0.77,7226
23498,1.54,1591
16008,1.4049999999999998,2892
22493,0.99,2354
84006,0.13,832
22348,2.37,3863
20765,0.22,96
20996,3.94,3057
22949,3.0300000000000002,947
22942,4.02,581
23396,1.62,616
47580,2.09,330
17003,1.21,22963
20973,4.58,4007
21982,2.1,7346
21314,2.97,3670
22536,1.42,4721
84658,3.89,46
22961,2.02,15055
23163,1.42,1714
23661,4.23,204
23460,2.28,108
22623,0.77,920
21197,4.36,243
22151,0.03,14877
22846,0.74,626
23004,4.44,1862
23342,4.245,367
23558,4.77,413
22306,3.75,1138
22659,4.59,11094
21246,3.3,175
21224,2.53,734
22562,2.61,1398
23128,2.815,436
23229,3.2800000000000002,1804
23501,2.65,1772
21561,3.91,1227
47471,3.67,264
22696,3.41,694
22752,0.53,1654
23537,1.215,98
90114,3.26,66
21809,0.82,1859
22357,2.22,324
22307,2.05,729
23432,0.38,1274
21126,1.47,488
22328,2.46,6481
23039,0.85,192
37340,3.505,2042
22411,1.78,10518
22550,2.59,1102
22558,0.47,8418
22735,0.62,673
22804,2.0433333333333334,2869
21264,3.72,256
22196,0.0,2385
23069,1.45,89
23265,1.35,1680
23454,2.37,166
23289,3.57,1553
21109,2.44,837
21212,3.2,33693
17012C,2.355,363
22171,2.71,1723
23079,2.325,250
22532,2.05,1063
20758,2.34,161
21116,1.85,489
20866,1.76,409
21313,0.74,2843
48187,1.81,3721
23056,3.5500000000000003,869
23226,3.49,1199
23288,3.6950000000000003,4505
84950,1.76,3361
23074,4.0,225
22093,4.11,1828
22635,4.46,657
21242,3.36,3074
22079,3.05,1715
21677,3.12,766
23392,4.8,592
23035,1.4266666666666667,2089
23420,2.53,160
23051,0.88,335
23139,4.63,407
22544,3.97,4414
22616,2.87,25345
23402,2.44,281
23697,4.18,438
22031,3.0,363
90098,3.22,28
23349,1.45,2857
23551,4.62,1617
22565,1.59,818
20618,2.44,68
20992,1.79,4365
16016,3.27,1273
21676,2.86,211
23465,2.33,28
23126,3.0066666666666664,1089
23239,4.33,823
23315,1.55,202
23120,3.87,1648
22037,2.45,3795
22094,1.38,2087
22904,2.03,1768
21217,4.84,975
85211,2.03,142
21721,0.38,175
23365,3.55,1531
23367,3.15,2785
82482,1.24,8276
23186,4.42,1982
21993,0.79,1366
23033,2.5,685
22313,1.35,553
22911,2.05,438
23151,1.55,60
22955,0.02,1149
23456,2.29,158
23510,4.36,2298
22331,3.01,1768
21169,2.42,4281
23511,0.53,526
23423,3.1,202
23556,0.16,438
23176,4.27,2090
17084N,1.52,1025
21790,4.83,13336
22446,0.84,161
