StockCode,AvgUnitPrice,SalesVolume
23318,1.97,3647
20868,3.21,381
21889,4.16,5778
22121,2.1675,333
22596,1.8,3290
22728,2.76,5074
21259,4.08,1128
23459,4.89,33
21452,2.52,745
23514,3.35,458
84212,2.09,10297
22314,3.86,517
22436,2.89,2110
23479,3.37,110
22130,2.665,1505
21671,3.83,4080
23113,3.755,1138
23236,0.9875,2459
23382,3.26,1712
23462,1.5266666666666666,77
82486,3.715,2085
23565,4.0,348
21967,4.8,5166
22629,1.89,13919
22529,0.24,816
10133,2.97,2384
90094,2.05,13
84347,1.99,7907
23156,3.58,1638
21086,3.51,6589
22077,3.55,8605
22107,1.89,293
22431,3.95,1981
22920,0.72,3329
21683,4.89,297
22154,0.46,3532
22335,4.12,2024
23343,2.662,4908
23535,2.393333333333333,1128
48184,1.58,1975
20723,2.89,6847
21117,0.15,115
22652,0.585,4864
22919,2.53,1669
21714,3.56,1085
22922,2.64,1482
23250,1.09,1103
82583,2.5200000000000005,6415
23328,4.73,2067
23171,0.13,5966
21238,3.76,3519
22508,3.29,1516
21498,4.38,10547
21584,3.46,1066
23468,1.06,19
22895,2.16,1980
23245,0.84,5856
21484,1.44,1555
22543,1.92,1436
21745,1.41,929
23111,1.15,296
23371,1.53,1505
23112,3.95,472
20914,2.58,6170
22721,4.23,910
21181,2.8339999999999996,11963
22633,2.01,4746
23540,1.2449999999999999,146
21408,3.15,225
21107,4.81,840
23080,0.56,1003
23284,1.9,5342
23303,1.84,65
23339,4.84,150
23496,1.26,88
85066,3.84,1705
22375,0.68,253
22698,4.51,5343
20675,2.26,2729
20861,3.15,2
23368,4.97,2155
23486,1.71,267
71053,2.615,1639
20764,3.56,128
21731,1.29,12871
22821,0.85,834
22434,2.45,779
21430,4.63,2704
23065,1.69,257
23499,2.78,1247
21058,2.5,1049
22494,4.08,890
23529,2.61,629
21989,2.44,2068
22940,4.64,1896
23455,2.485,206
47420,1.41,202
20719,4.25,9237
22158,2.03,2895
20985,4.52,1017
21376,4.38,33
22748,1.85,1895
23521,2.855,388
84813,1.19,145
20986,1.52,462
20731,0.15,74
22907,0.94,6102
22839,1.09,364
23395,0.48,696
85015,0.08,2130
23223,1.44,747
84199,4.87,129
23043,2.06,75
23560,1.29,164
22636,3.27,566
23252,2.215,590
79160,4.93,446
70006,1.96,2620
21868,1.8933333333333333,2346
84638,0.29,19
23270,3.585,1262
23399,3.52,1823
23272,3.69,352
21470,3.51,338
22081,1.54,595
22082,4.5,2558
22560,4.01,8014
20751,3.665,973
22585,2.47,6062
22626,3.05,504
22913,0.92,327
21287,3.51,1788
23476,1.64,198
21785,2.54,411
22327,1.52,832
22408,0.55,137
22687,1.7899999999999998,568
20969,1.89,1876
22776,0.9733333333333333,1116
23319,4.02,3539
23189,1.0,1215
23507,3.36,2841
84755,2.71,15611
23075,4.220000000000001,470
23088,2.26,760
22209,3.08,825
11001,4.25,1252
20978,1.27,1631
22352,4.52,2853
22429,2.84,1193
21495,0.12,5800
21507,3.205,3206
23158,3.8,2538
23242,0.87,1436
22989,2.66,2697
22726,0.05,5641
22766,1.73,3206
22865,2.34,8115
22791,4.83,7336
22124,0.65,79
23090,3.465,2130
23183,4.94,178
16238,4.81,1261
22139,1.01,4248
22470,4.27,9591
