StockCode,AvgUnitPrice,SalesVolume
23569,2.84,933
23020,1.6233333333333333,176
84832,3.29,2607
21218,0.28,2058
21754,4.57,2654
22549,1.22,2992
22727,1.69,7221
20829,2.98,1265
21422,4.99,1560
21849,3.93,52
23397,2.4699999999999998,434
23497,0.855,2514
23554,0.79,421
20717,1.47,2036
21932,2.6,2467
22644,3.51,2052
22738,1.19,2007
84380,3.31,5293
21880,0.47,1458
37327,2.7325,1375
22574,4.19,2124
22703,0.75,168
22625,0.34,1478
21906,4.45,483
22845,4.54,704
22995,1.08,2236
22960,1.75,8162
23414,4.38,139
22595,2.7099999999999995,6516
22660,3.24,327
23472,4.33,55
22100,1.55,729
22398,0.27,2545
84978,2.33,10980
20963,4.47,1102
21912,4.02,1575
82552,1.59,2922
22577,3.76,9784
85096,1.49,20
23025,0.14,317
17084R,2.01,4032
21090,2.965,1672
21930,4.48,5706
22663,1.93,3097
22903,4.27,153
23018,4.57,50
15030,4.34,143
21804,2.28,178
22219,2.8449999999999998,3372
21014,1.775,1233
22501,3.1174999999999997,1194
22674,2.54,1274
22906,2.92,1628
21988,0.42,2194
10125,2.06,1226
21579,3.05,154
22938,2.88,2321
23154,2.98,2472
23305,3.03,82
23403,0.77,596
23052,4.65,571
20713,2.7514285714285713,10466
21284,4.66,385
22150,3.03,2923
84012,2.56,1212
22551,1.28,7664
22811,2.69,775
40001,3.105,755
21722,2.51,65
23193,4.43,1855
85048,1.95,1266
23129,3.85,942
23381,2.65,1487
85176,4.18,626
20961,2.69,1029
22371,3.62,830
22588,3.0,605
22042,3.93,372
22996,3.22,4552
23550,3.37,1850
22990,2.05,607
20767,4.61,217
21015,0.7,1251
22694,3.24,1612
22905,2.91,478
23533,1.65,210
21032,2.35,65
23253,0.67,214
21125,1.42,598
21811,2.5933333333333333,4332
23240,2.75,4103
23313,2.3,2755
23481,4.74,217
84987,4.63,2928
84674,1.51,187
23255,1.03,963
23548,0.53,1075
22743,1.84,867
20686,3.14,255
21832,4.14,785
23280,3.2849999999999997,1995
82551,2.79,2791
84581,2.21,166
20724,2.9,12809
21519,0.33,3217
22075,0.32,1565
22678,2.77,751
22305,2.38,684
23235,2.4650000000000003,729
23310,1.48,11891
22568,1.99,3284
20655,2.14,89
21327,1.41,538
22523,2.46,844
23026,1.83,504
22976,3.17,1047
23542,2.92,484
22701,4.22,436
22116,4.01,505
21240,3.23,3156
21245,2.38,1014
22615,2.3,2024
23032,4.283333333333334,2264
23023,3.52,272
23405,3.57,237
22083,3.51,4307
22423,2.203333333333333,12412
22936,3.99,258
22474,0.52,244
22801,0.61,890
21390,2.78,3781
22675,4.06,1176
23109,2.79,2325
22138,4.94,4797
22272,3.04,194
22505,0.77,1365
21243,3.135,2113
20967,1.615,257
21836,4.73,3
23086,2.745,1194
23027,4.57,287
21901,0.61,1746
23340,4.49,2465
22600,4.79,1540
23579,2.04,151
20837,0.08,141
21726,4.28,231
23078,2.13,6607
23191,0.66,2176
23419,1.03,438
23148,2.9749999999999996,2118
23166,2.69,77916
22277,2.22,355
22422,1.04,971
23327,1.52,1710
21908,0.95,3635
18007,0.25,5856
22487,3.11,724
23266,2.12,1975
23359,4.645,979
22356,3.66,7306
22383,3.67,11722
22784,1.625,1214
23251,2.4699999999999998,1646
21625,4.25,307
22598,1.14,815
22131,0.3,1890
23578,2.2,56
23118,1.7675,765
23480,2.87,1720
23211,4.77,2208
21509,1.24,3581
22074,4.01,1001
22135,1.78,262
22566,2.92,834
22052,0.88,571
22669,2.32,1027
21413,1.17,36
21648,0.98,654
23274,3.84,1142
22963,3.76,3071
22312,2.35,503
22601,1.95,2238
22840,3.84,891
22477,2.63,1290
22231,2.37,869
23209,2.5124999999999997,13004
23256,1.98,2018
23527,0.8,416
23150,2.13,139
21789,4.97,799
21937,2.8633333333333333,1591
23165,4.12,2954
35648,3.165,814
85095,0.66,66
23438,2.7,1796
21080,4.85,12313
15036,1.74,21876
23021,0.75,118
23564,0.36,587
20981,4.15,1851
22597,3.475,2534
21865,0.72,223
22292,2.91,1088
23192,4.13,3286
23568,2.33,580
23227,2.39,1592
22972,2.14,1715
23225,4.75,1297
23093,4.14,916
22030,2.125,5361
72819,1.85,208
22174,1.82,2688
22217,2.29,765
23136,3.25,127
20878,2.89,25
21818,3.3200000000000003,2699
23179,0.97,304
21876,3.7,3548
22070,0.01,874
22133,1.74,702
22377,4.64,1038
22749,0.35,2223
21201,2.245,1175
22222,0.13,824
21064,3.45,176
21121,2.23,6502
21253,3.03,66
21735,0.6599999999999999,210
22971,2.58,2365
21175,3.27,11993
21400,3.44,837
21485,4.06,3335
23053,2.38,319
21587,4.11,197
23513,2.87,556
35923,1.8,1265
22956,1.48,2003
23241,0.23,2024
22834,3.28,4633
22044,1.02,816
23477,1.06,85
23022,0.85,416
22564,4.35,2673
23005,3.7700000000000005,4396
23366,2.8166666666666664,1923
23408,4.99,310
23695,1.22,727
82580,4.62,5505
22591,0.92,374
22599,1.94,1489
22619,4.76,2377
22664,3.97,642
21307,1.12,79
21948,3.39,418
21657,0.25,28
23377,1.84,1203
35933,3.81,222
23409,1.25,208
21137,3.06,11406
21730,3.73,498
21846,2.83,72
22149,2.3000000000000003,5890
21164,2.84,1714
22473,1.61,437
23317,3.76,162
23520,2.15,166
23495,4.15,192
21257,2.2,489
22812,3.0025000000000004,1571
21874,3.41,2852
21650,2.74,2197
21883,0.28,1368
21844,3.72,1814
23068,3.265,805
22928,3.75,251
23243,2.24,4663
21675,4.36,525
84819,0.13,811
23433,4.7,1215
21557,4.84,300
21686,1.3,33
23094,1.94,147
20617,2.92,66
22303,0.23,2770
22994,3.1,2107
23312,2.53,1365
21744,2.21,367
22896,3.36,1498
21742,1.28,193
21122,4.74,5257
22522,2.63,923
22838,3.33,652
47566,2.97,15295
84976,3.86,502
23089,3.53,2136
23562,0.26,245
84827,2.26,511
22662,1.68,6545
22686,2.41,859
21069,0.17,1868
22406,1.32,319
22742,2.13,628
23581,4.81,4373
21592,1.75,2151
22385,3.5,8248
22573,4.2,2445
22723,2.89,1059
23044,0.7,103
23013,2.26,866
21261,1.45,167
21705,1.26,1377
21787,4.58,8755
22576,2.17,1419
23539,3.6550000000000002,237
71477,3.865,6652
23061,3.425,964
84792,2.19,775
20972,1.32,7131
20983,2.57,2652
21983,0.75,2223
22689,1.115,614
21136,3.22,4476
23561,2.83,167
21464,1.46,244
23145,2.57,2054
35953,0.81,3017
23164,2.28,564
22571,3.33,2207
20716,0.72,314
23233,4.3,5175
22559,4.41,387
23293,3.92,8243
23102,4.97,1245
21231,2.49,5757
21871,1.81,5265
22637,2.785,2619
20755,1.31,292
23410,0.9,36
21207,2.55,982
22165,1.08,267
21725,4.0,274
82600,1.68,5833
23002,4.3,2078
23354,4.23,3346
23336,0.09,200
23081,1.625,454
15056N,4.83,3826
21694,2.75,303
84818,3.465,1424
23249,1.48,802
21692,1.14,17
23083,1.51,1860
23424,1.58,413
22311,2.35,1054
22593,2.35,2049
22492,3.76,26076
22334,1.31,684
72134,1.92,98
22362,0.04,349
21462,0.62,192
21078,0.28,2494
22642,1.25,253
20867,3.21,187
21403,0.06,1718
22778,1.6499999999999997,759
22461,1.27,231
23574,4.74,14
22546,3.23,2065
21706,1.99,229
22939,0.62,448
21385,2.7,3564
22200,2.84,326
21850,3.58,61
72586,0.4,626
22454,3.75,228
23040,2.35,246
22782,3.59,241
22456,0.61,1452
22816,2.29,3438
85172,2.0420000000000003,1328
20622,4.0,163
37476,3.31,17
22704,3.75,5275
22807,0.6,676
21286,0.78,255
22067,0.76,389
72780,2.92,137
15044C,1.33,272
90191,2.59,22
